,qual1,qual2,CDE_first_top1,CDE_first_top2,CDM_first_top1,CDM_first_top2,PU_first_h,PU_first_top1,PU_first_top2,PG_first_h,PG_first_top1,PG_first_top2,KM_first_h,KM_first_top1,KM_first_top2,KU_first_h,KU_first_top1,KU_first_top2,CDE_true_top1,CDE_true_top2,CDM_true_top1,CDM_true_top2,PU_true_h,PU_true_top1,PU_true_top2,PG_true_h,PG_true_top1,PG_true_top2,KM_true_h,KM_true_top1,KM_true_top2,KU_true_h,KU_true_top1,KU_true_top2,student_house
11,Kindness,Sincerity,0.4888,0.8838,0.5587,0.9437,1.7,0.555,0.9325,0.7,0.56,0.9413,7,0.535,0.9087,2,0.3,0.3,0.9025,0.9825,0.9025,0.9838,5.0,0.9075,0.9838,1.7,0.9,0.9838,10,0.9,0.9762,2,0.8013,0.8013,Ravenclaw
12,Kindness,Cold blood,0.5375,0.915,0.59,0.94,1.9,0.5837,0.9413,1.4,0.5613,0.9375,7,0.5425,0.9062,2,0.2812,0.2812,0.8925,0.9938,0.8925,0.9925,2.5,0.8962,0.9925,0.3,0.89,0.9912,7,0.8825,0.9712,2,0.7688,0.7688,Hufflepuff
13,Courage,Wisdom,0.6075,0.9363,0.6262,0.97,2.2,0.605,0.9625,0.8,0.6112,0.9563,10,0.5913,0.9413,2,0.345,0.345,0.9062,0.9912,0.9087,0.9912,2.0,0.8988,0.9862,0.5,0.9113,0.9912,6,0.9175,0.985,2,0.8213,0.8213,Hufflepuff
14,Kindness,Loyalty,0.5012,0.9175,0.5025,0.91,3.5,0.4838,0.9137,5.4,0.4925,0.9125,7,0.4775,0.8838,2,0.2313,0.2313,0.8375,0.9725,0.84,0.9725,4.4,0.8363,0.97,1.8,0.8375,0.97,8,0.8287,0.9525,2,0.66,0.66,Hufflepuff
15,Courage,Intelligence,0.435,0.8925,0.4637,0.9487,3.7,0.4462,0.92,3.0,0.4325,0.9012,10,0.4913,0.9363,2,0.25,0.25,0.9187,0.9938,0.9187,0.995,4.1,0.9175,0.9938,1.8,0.92,0.9938,10,0.9113,0.99,2,0.8287,0.8287,Gryffindor
16,Kindness,Creativity,0.5687,0.9313,0.5775,0.9387,3.0,0.5575,0.935,1.2,0.5687,0.9337,10,0.5413,0.9287,2,0.2587,0.2587,0.9012,0.9925,0.9012,0.9925,4.8,0.8975,0.9925,0.7,0.9025,0.9925,9,0.8912,0.9812,2,0.81,0.81,Ravenclaw
17,Kindness,Cold blood,0.4813,0.9525,0.5125,0.9625,3.3,0.5062,0.9663,1.2,0.5112,0.9613,9,0.54,0.9625,2,0.265,0.265,0.9275,0.995,0.9287,0.9925,3.4,0.93,0.9938,7.8,0.925,0.995,10,0.9237,0.9938,2,0.8313,0.8313,Gryffindor
18,Kindness,Ambition,0.5138,0.9125,0.5563,0.9663,2.5,0.5288,0.95,1.2,0.5375,0.945,9,0.5513,0.95,2,0.3088,0.3088,0.9413,0.9962,0.9363,0.9962,4.8,0.9375,0.9962,2.1,0.9413,0.9962,9,0.9337,0.9938,2,0.8488,0.8488,Slytherin
19,Courage,Lucidity,0.4963,0.895,0.5413,0.9237,2.9,0.495,0.9175,1.2,0.495,0.915,10,0.5175,0.905,2,0.2437,0.2437,0.9263,0.9962,0.9175,0.9962,1.9,0.9175,0.9962,3.6,0.9237,0.9962,7,0.9137,0.9862,2,0.8225,0.8225,Ravenclaw
20,Kindness,Ambition,0.5425,0.945,0.555,0.955,1.9,0.5537,0.95,0.6,0.5563,0.9525,9,0.555,0.9437,2,0.27,0.27,0.945,0.995,0.9387,0.9975,2.5,0.9387,0.9975,0.6,0.9363,0.9975,7,0.9237,0.9888,2,0.8413,0.8413,Hufflepuff
21,Kindness,Ambition,0.5312,0.9012,0.5775,0.9475,2.4,0.5513,0.935,0.9,0.5587,0.9387,8,0.5275,0.9287,2,0.245,0.245,0.8888,0.99,0.9012,0.9875,2.9,0.8925,0.9862,5.5,0.8838,0.9888,5,0.875,0.9663,2,0.775,0.775,Ravenclaw
22,Courage,Creativity,0.4325,0.8712,0.4238,0.925,4.1,0.4238,0.9012,3.9,0.4213,0.8875,10,0.4113,0.9163,2,0.19,0.19,0.9062,0.99,0.9025,0.9925,2.6,0.905,0.9925,0.9,0.905,0.99,10,0.9038,0.9888,2,0.7887,0.7887,Slytherin
23,Courage,Intelligence,0.525,0.9725,0.535,0.9925,2.9,0.5138,0.9888,1.5,0.53,0.9888,6,0.52,0.98,2,0.2512,0.2512,0.9838,0.9988,0.985,0.9988,5.3,0.9825,0.9988,7.0,0.9825,0.9988,6,0.98,0.995,2,0.95,0.95,Slytherin
24,Courage,Lucidity,0.4375,0.8812,0.4813,0.9187,1.7,0.4487,0.885,0.5,0.4587,0.8988,10,0.4612,0.8838,2,0.2313,0.2313,0.8838,0.9825,0.8812,0.9875,3.2,0.8825,0.9838,6.5,0.88,0.9825,7,0.8662,0.9775,2,0.7325,0.7325,Gryffindor
25,Courage,Wisdom,0.515,0.9187,0.53,0.9325,2.8,0.51,0.925,0.6,0.5212,0.9287,9,0.5062,0.8938,2,0.2362,0.2362,0.89,0.975,0.8962,0.9775,2.8,0.8938,0.9725,8.6,0.89,0.975,10,0.895,0.9725,2,0.745,0.745,Ravenclaw
25,Courage,Wisdom,0.515,0.9187,0.53,0.9325,2.8,0.51,0.925,0.6,0.5212,0.9287,9,0.5062,0.8938,2,0.2362,0.2362,0.89,0.975,0.8962,0.9775,2.8,0.8938,0.9725,8.6,0.89,0.975,10,0.895,0.9725,2,0.745,0.745,Ravenclaw
26,Kindness,Lucidity,0.4838,0.92,0.5238,0.9475,5.0,0.4875,0.9275,0.7,0.5275,0.935,10,0.5088,0.93,2,0.245,0.245,0.87,0.9788,0.8638,0.9788,3.0,0.87,0.9788,6.1,0.8675,0.9788,9,0.8612,0.9712,2,0.7538,0.7538,Ravenclaw
27,Kindness,Creativity,0.5563,0.955,0.5587,0.98,3.5,0.5687,0.9762,4.1,0.5563,0.9625,9,0.5625,0.9725,2,0.2725,0.2725,0.9475,0.9988,0.9525,0.9988,6.7,0.9425,0.9975,0.4,0.9463,0.9988,7,0.9525,0.995,2,0.8812,0.8812,Hufflepuff
28,Kindness,Sincerity,0.5887,0.9313,0.59,0.9487,2.2,0.595,0.9475,0.8,0.5962,0.945,9,0.5637,0.925,2,0.2775,0.2775,0.9012,0.99,0.9062,0.99,3.2,0.9025,0.99,1.8,0.9038,0.99,7,0.8838,0.9712,2,0.775,0.775,Gryffindor
29,Courage,Ambition,0.4175,0.8788,0.4587,0.9125,3.5,0.44,0.8912,1.3,0.4537,0.895,8,0.46,0.8812,2,0.2013,0.2013,0.8762,0.99,0.8738,0.99,2.7,0.8712,0.9888,0.7,0.87,0.9912,8,0.8725,0.975,2,0.7688,0.7688,Ravenclaw
30,Courage,Ambition,0.5863,0.9062,0.5687,0.9163,2.4,0.5537,0.91,1.8,0.55,0.9038,7,0.5075,0.8788,2,0.2387,0.2387,0.8638,0.9838,0.8675,0.9825,3.0,0.8588,0.985,1.2,0.86,0.9838,5,0.8438,0.9637,2,0.695,0.695,Gryffindor
